O que encontramos está validado?,Capital / Estado,Nome,Pessoa voluntária,Encontrou regulamentação da LGPD?,"Se sim, link da regulamentação","Se sim, número da regulamentação","Se não, documento do pedido de informação",O pedido de informação foi enviado?,Data do registro do pedido de informação,Link do e-SIC,Número do Protocolo,Código de acesso (se houver),Solicitação direcionada à qual órgão?,Prazo de resposta informado pelo e-sic,Coloque um print da tramitação na nossa pasta,"Deixe o link do seu print aqui, pra gente ver",O pedido de informação foi respondido?,Data da resposta recebida,Deixe uma cópia da resposta na nossa pasta,Observações
,Capital,Fortaleza (CE),Rammon,Sim,"https://transparencia-cdn.sefin.fortaleza.ce.gov.br/LEGISLACAO/BIBLIOTECA%20NORMATIVA/NORMAS%20GERAIS/DECRETOS/04%20-%20Decreto%20Municipal%20n%C2%B0%2014.987,%20de%202021%20-%20Lei%20Geral%20de%20Prote%C3%A7%C3%A3o%20de%20Dados%20no%20Munic%C3%ADpio.pdf","DECRETO Nº 14.987, DE 16 DE ABRIL DE 2021 ",,,,,,,,,PASTA,,,,PASTA,
,Capital,Aracaju (SE),,Sim,https://transparencia.aracaju.se.gov.br/fundat/wp-content/uploads/secretarias/FUNDAT/LEGISLACAO/DECRETOS/Decreto%206.894%20de%2020%20de%20dezembro%20de%202022%20-%20LGPD%20%281%29.pdf,Decreto 6894/2022,,,,,,,,,,,,,,
,Capital,João Pessoa (PB),João Leônidas,Sim,https://transparencia.joaopessoa.pb.gov.br:8080/leis-download?id=154,Decreto nº 9.792/2021,,,,,,,,,PASTA,,,,PASTA,
,Capital,Recife (PE),,Sim,https://transparencia.recife.pe.gov.br/uploads/pdf/Decreto%20Municipal%2035.583-2022%20-%20PMPD_1d9c74ad4be3ab6d0fe20f6fae30d9b8.pdf,DECRETO Nº 35.583 DE 25 DE ABRIL DE 2022,,,,,,,,,,,,,,
,Capital,Belém (PA),João Leônidas,Não,,,,Sim,29/09/2025,https://ogm.belem.pa.gov.br/PortalOGM/Manifestacao/Sucesso?idTarefa=10299,10299 / 2025 ,,OGM,,PASTA,,,,PASTA,
Sim,Estado,Sergipe,Adalvânio,Sim,http://arquivos.setc.se.gov.br/LGPD/Legislacoes/Decreto%20n%2041006%20de%2005%20de%20outubo%20de%202021.pdf,DECRETO N° 41.006 DE 05 DE OUTUBRO DE 2021,,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Rondônia,Dreyf,Sim,http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/D26451%20-%20COMPILADO.pdf,"DECRETO N° 26.451, DE 4 DE OUTUBRO DE 2021",,,,,,,,,PASTA,,,,PASTA,
Não,Estado,Amapá,Kathleen,Não,http://www.transparencia.ap.gov.br/relatorios/atos/decretos/GAB_GOV_DECRETO_3830_DE_03_DE_NOVEMBRO_DE_2020.pdf,DECRETO Nº 3830 DE 03 DE NOVEMBRO DE 2020,,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Mato Grosso,adalvânio,Sim,https://app1.sefaz.mt.gov.br/Sistema/Legislacao/legislacaotribut.nsf/709f9c981a9d9f468425671300482be0/f3c544a8520371b903258c81004dd71d?OpenDocument,"DECRETO Nº 1.427, DE 30 DE ABRIL DE 2025",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Paraíba,João Leônidas,Sim,https://auniao.pb.gov.br/servicos/doe/2021/maio/diario-oficial-08-05-2021.pdf,Decreto nº 41.238/2021,,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Alagoas,Adalvânio,Sim,https://imprensaoficial.al.gov.br/storage/files/2024/07/LGPD_01-Decreto_91229.pdf, Decreto nº 91.229/2023,,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Pernambuco,adalvânio,Sim,https://legis.alepe.pe.gov.br/texto.aspx?id=51399&tipo=,"DECRETO Nº 49.265, DE 6 DE AGOSTO DE 2020.",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Goiás,Adalvânio,Sim,https://legisla.casacivil.go.gov.br/pesquisa_legislacao/105643/decreto-10092,Decreto Nº 10092 DE 06/06/2022,,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Espírito Santo,Adalvânio,Sim,https://sedu.es.gov.br/Media/sedu/pdf%20e%20Arquivos/4922-R-Institui%20a%20Pol%C3%ADtica%20Estadual%20de%20Prote%C3%A7%C3%A3o%20de%20Dados%20Pessoais.pdf,"DECRETO Nº 4922-R, DE 09 DE JULHO DE 2021",,,,,,,,,PASTA,,,,PASTA,
