O que encontramos está validado?,Capital / Estado,Nome,Pessoa voluntária,Encontrou regulamentação da LAI?,"Se sim, link da regulamentação","Se sim, número da regulamentação","Se não, documento do pedido de informação",O pedido de informação foi enviado?,Data do registro do pedido de informação,Link do e-SIC,Número do Protocolo,Código de acesso (se houver),Solicitação direcionada à qual órgão?,Prazo de resposta informado pelo e-sic,Coloque um print da tramitação na nossa pasta,"Deixe o link do seu print aqui, pra gente ver",O pedido de informação foi respondido?,Data da resposta recebida,Deixe uma cópia da resposta na nossa pasta,Observações
Sim,Estado,Pernambuco,Adalvânio,Sim,"https://legis.alepe.pe.gov.br/texto.aspx?tiponorma=1&numero=14804&complemento=0&ano=2012&tipo=&url= 
https://legis.alepe.pe.gov.br/texto.aspx?tiponorma=6&numero=38787&complemento=0&ano=2012&tipo=&url= 
","LEI Nº 14.804, DE 29 DE OUTUBRO DE 2012.
DECRETO Nº 38.787, DE 30 DE OUTUBRO DE 2012.",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Goiás,Adalvânio,Sim,"https://legisla.casacivil.go.gov.br/pesquisa_legislacao/90142/lei-18025 
https://legisla.casacivil.go.gov.br/pesquisa_legislacao/107670/decreto-10306 ","LEI No 18.025, DE 22 DE MAIO DE 2013.
Regulamentada pelo Decreto no 10.306, de 21-8-2023.",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Paraíba,João Leônidas,Sim,https://ouvidoria.pb.gov.br/legislacao/dec_33_050_regul_lei_12527_internet.pdf,Decreto nº 33.050/2012	,,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Alagoas,Adalvânio,Sim,https://sapl.al.al.leg.br/media/sapl/public/normajuridica/2019/1547/lei_no_8.087_de_11.01.2019.pdf,"LEI Nº 8.087, DE 11 DE JANEIRO DE 2019",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Tocantins,Adalvânio,Sim,https://servicos.casacivil.to.gov.br/decretos/decreto/4839,"Decreto Nº 4.839, de 19 de junho de 2013.",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Rio Grande do Sul,,Sim,https://sincage.sefaz.rs.gov.br/documento-completo/12280105-df98-4936-e38e-08dc4777fe63,"DECRETO Nº 49.111, DE 16 DE MAIO DE 2012.",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Piauí,Adalvânio,Sim,https://www.al.pi.leg.br/servicos/ouvidoria/decreto-15-188-de-22-05-2013.pdf/view,"DECRETO Nº 15.188, DE 22 DE MAIO DE 2013",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,São Paulo,Kathleen Feitosa,Sim,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2023/decreto-68155-09.12.2023.html,"DECRETO N° 68.155, DE 09 DE DEZEMBRO DE 2023",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Minas Gerais,Adalvânio,Sim,https://www.almg.gov.br/legislacao-mineira/texto/DEC/45969/2012/?cons=1,"Decreto nº 45.969, de 24/05/2012",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Amazonas,Dreyf,Sim,https://www.ciama.am.gov.br/wp-content/uploads/2024/07/DECRETO-48.999-2024.pdf,"DECRETO N.º 48.999, DE 09 DE FEVEREIRO DE 2024",,,,,,,,,PASTA,,,,PASTA,
