Capital / Estado,Nome,Pessoa voluntária,Encontrou regulamentação da Lei de Governo Digital?,"Se sim, link da regulamentação","Se sim, número da regulamentação","Se não, documento do pedido de informação",O pedido de informação foi enviado?,Data do registro do pedido de informação,Link do e-SIC,Número do Protocolo,Código de acesso (se houver),Solicitação direcionada à qual órgão?,Prazo de resposta informado pelo e-sic,Coloque um print da tramitação na nossa pasta,"Deixe o link do seu print aqui, pra gente ver",O pedido de informação foi respondido?,Data da resposta recebida,Deixe uma cópia da resposta na nossa pasta,Observações
Estado,Acre,Adalvânio,Sim,https://www.legis.ac.gov.br/detalhar/5536,"DECRETO Nº 11.200, DE 15 DE MARÇO DE 2023",,,,,,,,,PASTA,,,,PASTA,
Estado,Rio de Janeiro,Adalvânio,Sim,https://www.rj.gov.br/transparencia/sites/default/files/arquivos_paginas/Decreto%2048.011%202022_0.pdf,DECRETO Nº 48.011 DE 04 DE ABRIL DE 2022,,,,,,,,,PASTA,,,,PASTA,
Estado,Bahia,Dreyf,,,,,,,,,,,,PASTA,,,,PASTA,
Estado,Maranhão,Adalvânio,Sim,https://www.transparencia.ma.gov.br/storage/anexos-portal/anexo_2025-07-17_15-44-30_53c8211baea0a00ff966ef7b08933b365e5d2561e8a7da10b816a19a63f1bc7f.pdf,"DECRETO Nº 40.154, DE 14 DE JULHO DE 2025.",,,,,,,,,PASTA,,,,PASTA,
Estado,São Paulo,Kathleen,Sim,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2023/decreto-67799-13.07.2023.html,"DECRETO N° 67.799, DE 13 DE JULHO DE 2023",,,,,,,,,PASTA,,,,PASTA,
Estado,Piauí,Rammon,Sim,https://www.etipi.com.br/wp-content/uploads/2024/05/Decreto-21.979-de-13-de-Abril-de-2023.pdf,"DECRETO Nº 21.979, DE 13 DE ABRIL DE 2023",,,,,,,,,PASTA,,,,PASTA,
Estado,Espírito Santo,Adalvânio,Sim,https://ioes.dio.es.gov.br/portal/visualizacoes/html/9331/#e:9331/#m:1468652,"DECRETO Nº 5778-R, DE 24 DE JULHO DE 2024",,,,,,,,,PASTA,,,,PASTA,
Capital,Boa Vista (RR),Rafael Freire,Não,,,,,,,,,,,,,,,,
Capital,João Pessoa (PB),Rafael Freire,Não,,,,,,,,,,,,,,,,
Capital,Porto Velho (RO),Rafael Freire,Sim,https://sapl.portovelho.ro.leg.br/media/sapl/public/normajuridica/2023/25507/decreto_19.173-2023.pdf,"DECRETO Nº 19.173, DE 21 DE JULHO DE 2023.",,,,,,,,,PASTA,,,,PASTA,Dreyf (RO)
Capital,Rio Branco (AC),Rafael Freire,Sim,http://portalcgm.riobranco.ac.gov.br/lai/wp-content/uploads/2015/02/DECRETO-N%C2%BA-1714-2025-Regulamenta-a-Lei-Federal-n%C2%BA-14.129-2021-GOVERNO-DIGITAL.pdf,DECRETO Nº 1.714 DE 29 DE ABRIL DE 2025,,,,,,,,,PASTA,,,,PASTA,
